Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
ARI,30,29.6,3.98,82,80,.506,3.72,162,162,160,2,9,1,39,1463.0,1313,644,605,174,522,43,1448,57,5,69,6139,117,3.91,1.254,8.1,1.1,3.2,8.9,2.77,1106
ATL,35,27.7,4.06,90,72,.556,3.75,162,162,160,2,11,1,40,1456.2,1236,657,607,153,635,43,1423,52,8,61,6155,108,3.98,1.284,7.6,0.9,3.9,8.8,2.24,1128
CHC,35,30.2,3.96,95,68,.583,3.65,163,163,162,1,18,0,46,1476.1,1319,645,598,157,622,33,1333,66,3,46,6264,118,4.14,1.315,8.0,1.0,3.8,8.1,2.14,1190
CIN,32,27.1,5.06,67,95,.414,4.63,162,162,161,1,6,0,38,1441.0,1491,819,741,228,532,60,1258,50,8,48,6279,91,4.66,1.404,9.3,1.4,3.3,7.9,2.36,1137
COL,21,27.9,4.57,91,72,.558,4.33,163,163,163,0,10,0,51,1452.1,1377,745,699,184,525,24,1409,52,8,70,6154,108,4.06,1.310,8.5,1.1,3.3,8.7,2.68,1052
LAD,31,29.2,3.74,92,71,.564,3.38,163,163,163,0,11,0,48,1476.0,1279,610,554,179,422,39,1565,61,10,39,6096,115,3.60,1.152,7.8,1.1,2.6,9.5,3.71,1058
MIA,29,27.6,5.02,63,98,.391,4.76,161,161,160,1,12,0,30,1442.0,1388,809,762,192,605,73,1249,71,6,47,6236,77,4.57,1.382,8.7,1.2,3.8,7.8,2.06,1101
MIL,30,28.8,4.04,96,67,.589,3.73,163,163,163,0,14,0,49,1461.0,1259,659,606,173,553,34,1428,61,5,50,6114,110,4.01,1.240,7.8,1.1,3.4,8.8,2.58,1072
NYM,30,28.0,4.36,77,85,.475,4.07,162,162,159,3,15,1,41,1460.2,1364,707,661,185,484,32,1446,71,2,26,6178,91,3.97,1.265,8.4,1.1,3.0,8.9,2.99,1089
PHI,31,26.8,4.49,80,82,.494,4.14,162,162,162,0,12,0,44,1445.2,1366,728,665,171,500,35,1465,60,7,81,6138,101,3.83,1.291,8.5,1.1,3.1,9.1,2.93,1073
PIT,24,26.5,4.30,82,79,.509,4.00,161,161,158,3,16,2,40,1434.0,1380,693,637,174,497,43,1336,69,6,95,6144,97,4.06,1.309,8.7,1.1,3.1,8.4,2.69,1149
SDP,30,27.7,4.73,66,96,.407,4.40,162,162,162,0,5,0,36,1457.0,1430,767,713,185,519,28,1399,68,4,52,6254,88,4.10,1.338,8.8,1.1,3.2,8.6,2.70,1116
SFG,27,28.6,4.31,73,89,.451,3.95,162,162,161,1,15,1,36,1461.1,1387,699,641,156,524,37,1269,45,4,44,6191,99,3.98,1.308,8.5,1.0,3.2,7.8,2.42,1108
STL,30,26.7,4.27,88,74,.543,3.85,162,162,161,1,8,1,43,1455.1,1354,691,622,144,593,49,1337,67,4,63,6271,101,3.97,1.338,8.4,0.9,3.7,8.3,2.25,1214
WSN,31,30.2,4.21,82,80,.506,4.04,162,162,160,2,7,1,40,1446.0,1320,682,649,198,487,37,1417,76,6,42,6086,106,4.15,1.250,8.2,1.2,3.0,8.8,2.91,1067
LgAvg,29,28.2,4.34,82,81,.503,4.02,162,162,161,1,,,41,1455,1351,704,651,177,535,41,1385,62,6,56,6180,101,4.06,1.296,8.4,1.1,3.3,8.6,2.59,1111
,431,28.2,4.34,1224,1208,.503,4.02,2432,2432,2415,17,,,621,21828.1,20263,10555,9760,2653,8020,610,20782,926,86,833,92699,101,4.06,1.296,8.4,1.1,3.3,8.6,2.59,16660
