Tm,RA/G,PtchR,PtchW,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,RE24,REW,boLI,RE24/boLI,LevHi,LevMd,LevLo,R/G,BtRuns,BtWins,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,RE24,REW,boLI,RE24/boLI,PHlev,AB,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Pitching Salary,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Batting Salary,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr
ARI,3.98,98,10.8,6312,4.6,115.6,-111,1.06,6.1,-1.8,91.9,9.9,0.93,74.8,217,121,223,4.28,-136.3,-13.8,6360,-3.6,107.2,-110.8,1.01,-3.9,0.4,-40.9,-4.1,0.94,-44.1,1.3,228,30,29.6,3.98,82,80,0.506,3.72,162,162,160,2,9,1,39,1463,1313,644,605,174,522,43,1448,57,5,69,6139,117,3.91,1.254,8.1,1.1,3.2,8.9,2.77,1106,49,29.2,4.28,162,6157,5460,693,1283,259,50,176,658,79,25,560,1460,0.235,0.31,0.397,0.707,84,2170,110,52,38,45,36,1086,1463,735,162,644,3.96,4.45,0.65,0.01,107.2,4.08,21,3.6,1.26,-2.2,14.5,144,0.505,0.502,"$77,331,100 ",6157,-125,10,3,85,60,33,1,188,222,19.5,0.501,0.503,11.6,8.3,136,"$121,250,600 ",49,3.98,0.698,162,1458,1119,13167,6150,4389,1686,75,152,0.988,33,3,118,2
ATL,4.06,50.5,5.7,6386,6.1,111.7,-105.6,1.02,5.8,0.1,46.3,5.3,0.96,52.2,182,128,232,4.69,-5.6,-0.8,6457,2.9,110.1,-107.2,0.98,3.2,-0.3,58.9,5.5,0.95,45.1,1.16,218,35,27.7,4.06,90,72,0.556,3.75,162,162,160,2,11,1,40,1456.2,1236,657,607,153,635,43,1423,52,8,61,6155,108,3.98,1.284,7.6,0.9,3.9,8.8,2.24,1128,58,27.3,4.69,162,6251,5582,759,1433,314,29,175,717,90,36,511,1290,0.257,0.324,0.417,0.742,99,2330,99,66,49,43,53,1143,1456.2,715,162,657,4.06,4.43,0.33,0,99.5,4.08,6,1.5,1.13,-1.4,13.2,128,0.501,0.501,"$33,786,667 ",6251,-8,4,1,50,60,108,8.9,189,297,27.6,0.505,0.505,23.4,4.5,247,"$83,671,667 ",57,4.06,0.709,162,1458,1166,13110,5889,4370,1439,80,134,0.986,34,3,52,1
CHC,3.96,102.8,10.9,6460,14,114.4,-100.4,1,7.8,6.3,89,9.4,0.95,73.1,219,129,240,4.67,-42.9,-4.4,6587,-0.5,110.4,-111,0.99,3.7,-4.2,34.7,3.1,0.97,40.3,1.23,240,35,30.2,3.96,95,68,0.583,3.65,163,163,162,1,18,0,46,1476.1,1319,645,598,157,622,33,1333,66,3,46,6264,118,4.14,1.315,8,1,3.8,8.1,2.14,1190,50,27.2,4.67,163,6369,5624,761,1453,286,34,167,722,66,38,576,1388,0.258,0.333,0.41,0.744,95,2308,107,78,40,46,67,1224,1476.1,763,163,645,3.93,4.43,0.28,-0.01,105.4,4.37,74,8.7,1.22,-0.8,21.1,199,0.511,0.503,"$141,206,714 ",6369,-49,2,8,51,57,69,4.9,195,264,24,0.503,0.503,19.7,4.3,213,"$202,373,881 ",50,3.96,0.7,163,1467,933,13287,6208,4429,1675,104,155,0.983,69,6,37,3
CIN,5.06,-72.3,-6.6,6449,-7.1,99.1,-106.3,0.9,-11.7,3.8,-109.8,-10,0.96,-128.5,149,116,259,4.3,-48.8,-5,6417,-6.9,106.3,-113.2,1.03,-2.5,-4.2,-19.1,-2.1,0.97,-22.9,1.27,218,32,27.1,5.06,67,95,0.414,4.63,162,162,161,1,6,0,38,1441,1491,819,741,228,532,60,1258,50,8,48,6279,91,4.66,1.404,9.3,1.4,3.3,7.9,2.36,1137,53,27.2,4.3,162,6240,5532,696,1404,251,25,172,665,77,33,559,1376,0.254,0.328,0.401,0.729,94,2221,128,65,49,35,35,1179,1441,706,162,819,5.12,4.44,-0.02,-0.01,104.2,4.64,-71,-6.3,1.03,-0.3,6.3,51,0.49,0.5,"$48,179,286 ",6240,-54,-16,-1,9,58,-3,-2.9,190,187,15.9,0.5,0.501,16.1,-0.2,178,"$94,042,500 ",53,5.06,0.685,162,1458,1084,12969,6026,4323,1608,95,144,0.984,-40,-4,-7,-1
COL,4.57,54.7,6,6370,3.8,112.8,-108.9,1.03,2.7,1,16.2,2,0.93,32.3,176,120,211,4.79,-93.9,-9.6,6397,5.7,111.6,-106,0.96,2.8,3.1,28.5,2.4,0.93,27.9,1.17,240,21,27.9,4.57,91,72,0.558,4.33,163,163,163,0,10,0,51,1452.1,1377,745,699,184,525,24,1409,52,8,70,6154,108,4.06,1.31,8.5,1.1,3.3,8.7,2.68,1052,41,28.7,4.79,163,6178,5541,780,1418,280,42,210,748,95,33,507,1397,0.256,0.322,0.435,0.757,90,2412,114,51,42,37,38,1067,1452.1,681,163,745,4.62,4.46,-0.07,0.02,115.5,5.25,104,12.5,1.14,-0.8,24.6,227,0.518,0.504,"$53,399,500 ",6178,-76,3,-1,-20,59,-35,-6.3,186,151,12.1,0.498,0.5,15.4,-3.1,172,"$135,498,500 ",41,4.57,0.688,163,1467,1140,13071,6055,4357,1624,74,162,0.988,29,3,-14,-1
LAD,3.74,82.1,8.9,6261,8.4,112,-103.6,1.01,10.8,-2.5,99.5,11.2,0.92,121.7,186,147,247,4.93,78,7.5,6587,2.1,114.1,-111.9,1.01,10.9,-8.7,98.5,9.6,0.96,123.3,1.25,303,31,29.2,3.74,92,71,0.564,3.38,163,163,163,0,11,0,48,1476,1279,610,554,179,422,39,1565,61,10,39,6096,115,3.6,1.152,7.8,1.1,2.6,9.5,3.71,1058,52,28.1,4.93,163,6358,5572,804,1394,296,33,235,756,75,24,647,1436,0.25,0.333,0.442,0.774,109,2461,119,61,39,39,47,1163,1476,756,163,610,3.72,4.25,0.22,0,97.3,3.92,34,4.6,1.09,-2.1,15.8,159,0.506,0.501,"$90,419,429 ",6358,76,17,-1,16,56,163,14.8,195,359,34.1,0.507,0.506,33.6,0.4,343,"$156,203,429 ",52,3.74,0.698,163,1467,910,13284,5963,4428,1435,100,111,0.983,8,1,32,3
MIA,5.02,-188.9,-18.5,6406,-9,100.3,-109.3,0.96,-9.2,-0.3,-151.9,-15.7,0.96,-132.5,169,117,238,3.66,-83.1,-8.4,6247,-8.5,99,-107.5,1.01,-8.8,0.5,-73.4,-7.9,0.95,-86.2,1.11,254,29,27.6,5.02,63,98,0.391,4.76,161,161,160,1,12,0,30,1442,1388,809,762,192,605,73,1249,71,6,47,6236,77,4.57,1.382,8.7,1.2,3.8,7.8,2.06,1101,51,27.5,3.66,161,6083,5488,589,1303,222,24,128,554,45,31,455,1384,0.237,0.303,0.357,0.659,87,1957,119,73,32,31,26,1123,1442,707,161,809,5.05,4.45,0.17,-0.01,90,3.84,-192,-19.4,1.03,-0.8,-7.3,-71,0.472,0.495,"$42,218,000 ",6083,-62,-8,6,24,46,5,-2,188,193,16.6,0.5,0.501,15.2,1.1,169,"$85,315,143 ",51,5.02,0.697,161,1449,980,12978,5857,4326,1448,83,133,0.986,-8,-1,28,3
MIL,4.04,57.1,6.3,6296,7.2,110.9,-103.7,1.02,8.5,-1.4,56.9,6.2,0.94,78.2,183,138,226,4.63,-15.8,-1.8,6469,7.3,113.9,-106.6,1,5.6,1.7,45.2,4.1,0.95,54.6,1.2,251,30,28.8,4.04,96,67,0.589,3.73,163,163,163,0,14,0,49,1461,1259,659,606,173,553,34,1428,61,5,50,6114,110,4.01,1.24,7.8,1.1,3.4,8.8,2.58,1072,53,28.8,4.63,163,6210,5542,754,1398,252,24,218,711,124,32,537,1458,0.252,0.323,0.424,0.747,99,2352,128,58,29,41,32,1106,1461,722,163,659,4.06,4.37,0.55,-0.01,101.3,3.86,-31,-2.6,1.18,-1.4,9,92,0.496,0.5,"$37,548,300 ",6210,-2,4,2,81,51,137,11.9,190,327,30.6,0.506,0.505,23.1,7.4,246,"$102,430,700 ",53,4.04,0.704,163,1467,959,13149,5944,4383,1453,108,141,0.982,45,4,91,1
NYM,4.36,-63.3,-5.1,6392,2.5,110.5,-108,1.02,0,2.4,-37.7,-2.4,0.94,-30,161,119,197,4.17,-3.7,-0.6,6373,-6.5,105.4,-111.9,1.02,-2.1,-4.3,-1.6,-0.4,0.94,2.3,1.44,215,30,28,4.36,77,85,0.475,4.07,162,162,159,3,15,1,41,1460.2,1364,707,661,185,484,32,1446,71,2,26,6178,91,3.97,1.265,8.4,1.1,3,8.9,2.99,1089,56,28.3,4.17,162,6177,5468,676,1282,265,34,170,649,71,39,566,1404,0.234,0.312,0.389,0.701,97,2125,116,73,28,42,36,1104,1460.2,663,162,707,4.36,4.41,-0.5,0.01,91.6,4.51,26,5,1.13,-1.6,16.4,149,0.508,0.502,"$53,627,275 ",6177,0,0,0,-78,59,-19,-4.5,190,172,14.2,0.499,0.5,23.7,-9.2,249,"$182,101,748 ",56,4.36,0.691,162,1458,1136,13146,5876,4382,1406,88,121,0.985,-48,-4,-87,-8
PHI,4.49,1.9,0.9,6396,4.4,110,-105.6,1,-0.1,4.5,-25.4,-1.7,0.94,-10.5,185,149,241,4.18,-92.4,-9.3,6328,-5.3,97.7,-103.1,0.95,-5.4,-0.2,-27.7,-2.9,0.94,-41.9,1.15,261,31,26.8,4.49,80,82,0.494,4.14,162,162,162,0,12,0,44,1445.2,1366,728,665,171,500,35,1465,60,7,81,6138,101,3.83,1.291,8.5,1.1,3.1,9.1,2.93,1073,48,26.7,4.18,162,6136,5424,677,1270,241,30,186,653,69,26,582,1520,0.234,0.314,0.393,0.707,89,2129,102,64,32,32,33,1120,1445.2,758,162,728,4.53,4.52,-0.71,0,102.2,5.35,133,16,1.16,-0.8,28.1,255,0.521,0.506,"$59,234,000 ",6136,-91,1,1,-116,55,-149,-18.3,188,39,0.2,0.493,0.495,13.8,-13.3,155,"$93,774,333 ",48,4.49,0.677,162,1458,1092,13011,5938,4337,1478,123,138,0.979,-58,-5,-137,-13
