Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary
ARI,,6157,-125,10,3,85,60,33,1.0,188,222,19.5,.501,.503,11.6,8.3,136,$121250600
ATL,,6251,-8,4,1,50,60,108,8.9,189,297,27.6,.505,.505,23.4,4.5,247,$83671667
CHC,,6369,-49,2,8,51,57,69,4.9,195,264,24.0,.503,.503,19.7,4.3,213,$202373881
CIN,,6240,-54,-16,-1,9,58,-3,-2.9,190,187,15.9,.500,.501,16.1,-0.2,178,$94042500
COL,,6178,-76,3,-1,-20,59,-35,-6.3,186,151,12.1,.498,.500,15.4,-3.1,172,$135498500
LAD,,6358,76,17,-1,16,56,163,14.8,195,359,34.1,.507,.506,33.6,0.4,343,$156203429
MIA,,6083,-62,-8,6,24,46,5,-2.0,188,193,16.6,.500,.501,15.2,1.1,169,$85315143
MIL,,6210,-2,4,2,81,51,137,11.9,190,327,30.6,.506,.505,23.1,7.4,246,$102430700
NYM,,6177,0,0,0,-78,59,-19,-4.5,190,172,14.2,.499,.500,23.7,-9.2,249,$182101748
PHI,,6136,-91,1,1,-116,55,-149,-18.3,188,39,0.2,.493,.495,13.8,-13.3,155,$93774333
PIT,,6066,-19,-8,-2,-15,58,14,-1.0,187,201,17.5,.501,.502,20.3,-2.2,216,$87029000
SDP,,6059,-99,-4,3,40,52,-9,-3.3,187,179,15.1,.500,.500,12.0,3.3,138,$80443000
SFG,,6113,-124,0,-2,23,56,-47,-7.5,188,140,11.0,.498,.499,9.7,1.5,117,$201960277
STL,,6200,-14,-5,6,39,55,81,6.2,190,271,25.0,.504,.503,21.9,3.1,232,$155113667
WSN,,6288,-27,-2,2,-43,60,-10,-3.8,189,179,14.9,.499,.501,20.7,-5.7,222,$187886699
,0,92885,-674,-3,25,146,841,337,-1.7,2842,3179,278.2,.501,.502,280.1,0.2,3032,$1969095144
