Tm,R/G,BtRuns,BtWins,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,RE24,REW,boLI,RE24/boLI,PHlev,AB
ARI,4.28,-136.3,-13.8,6360,-3.6,107.2,-110.8,1.01,-3.9,0.4,-40.9,-4.1,0.94,-44.1,1.30,228
ATL,4.69,-5.6,-0.8,6457,2.9,110.1,-107.2,.98,3.2,-0.3,58.9,5.5,0.95,45.1,1.16,218
CHC,4.67,-42.9,-4.4,6587,-0.5,110.4,-111.0,.99,3.7,-4.2,34.7,3.1,0.97,40.3,1.23,240
CIN,4.30,-48.8,-5.0,6417,-6.9,106.3,-113.2,1.03,-2.5,-4.2,-19.1,-2.1,0.97,-22.9,1.27,218
COL,4.79,-93.9,-9.6,6397,5.7,111.6,-106.0,.96,2.8,3.1,28.5,2.4,0.93,27.9,1.17,240
LAD,4.93,78.0,7.5,6587,2.1,114.1,-111.9,1.01,10.9,-8.7,98.5,9.6,0.96,123.3,1.25,303
MIA,3.66,-83.1,-8.4,6247,-8.5,99.0,-107.5,1.01,-8.8,0.5,-73.4,-7.9,0.95,-86.2,1.11,254
MIL,4.63,-15.8,-1.8,6469,7.3,113.9,-106.6,1.00,5.6,1.7,45.2,4.1,0.95,54.6,1.20,251
NYM,4.17,-3.7,-0.6,6373,-6.5,105.4,-111.9,1.02,-2.1,-4.3,-1.6,-0.4,0.94,2.3,1.44,215
PHI,4.18,-92.4,-9.3,6328,-5.3,97.7,-103.1,.95,-5.4,-0.2,-27.7,-2.9,0.94,-41.9,1.15,261
PIT,4.30,-11.3,-1.3,6248,-1.0,103.6,-104.6,.98,-1.9,0.9,8.5,0.6,0.94,3.2,1.17,231
SDP,3.81,-100.3,-10.1,6256,-10.1,100.1,-110.2,1.00,-8.4,-1.7,-78.9,-8.2,0.93,-77.9,1.26,222
SFG,3.72,-124.2,-12.5,6328,-9.4,105.6,-115.1,1.06,-11.7,2.8,-90.1,-9.3,0.94,-125.9,1.34,268
STL,4.69,-5.6,-0.7,6389,6.5,111.7,-105.2,.98,3.7,2.9,65.8,6.4,0.96,47.3,1.28,218
WSN,4.76,-15.3,-1.8,6538,-1.8,110.8,-112.5,1.02,3.1,-4.8,57.8,5.2,0.97,47.2,1.35,250
LgAvg,4.37,-46,-4,6399,-1,107,-108,1.00,0,0,4,0,0,0,0,241
,4.37,-701.0,-72.7,95981,-29.1,1607.6,-1636.7,1.00,-11.7,-17.3,66.2,1.9,0.95,-7.7,1.24,3617
