Tm,RA/G,PtchR,PtchW,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,RE24,REW,boLI,RE24/boLI,LevHi,LevMd,LevLo
ARI,3.98,98.0,10.8,6312,4.6,115.6,-111.0,1.06,6.1,-1.8,91.9,9.9,0.93,74.8,217,121,223
ATL,4.06,50.5,5.7,6386,6.1,111.7,-105.6,1.02,5.8,0.1,46.3,5.3,0.96,52.2,182,128,232
CHC,3.96,102.8,10.9,6460,14.0,114.4,-100.4,1.00,7.8,6.3,89.0,9.4,0.95,73.1,219,129,240
CIN,5.06,-72.3,-6.6,6449,-7.1,99.1,-106.3,.90,-11.7,3.8,-109.8,-10.0,0.96,-128.5,149,116,259
COL,4.57,54.7,6.0,6370,3.8,112.8,-108.9,1.03,2.7,1.0,16.2,2.0,0.93,32.3,176,120,211
LAD,3.74,82.1,8.9,6261,8.4,112.0,-103.6,1.01,10.8,-2.5,99.5,11.2,0.92,121.7,186,147,247
MIA,5.02,-188.9,-18.5,6406,-9.0,100.3,-109.3,.96,-9.2,-0.3,-151.9,-15.7,0.96,-132.5,169,117,238
MIL,4.04,57.1,6.3,6296,7.2,110.9,-103.7,1.02,8.5,-1.4,56.9,6.2,0.94,78.2,183,138,226
NYM,4.36,-63.3,-5.1,6392,2.5,110.5,-108.0,1.02,0.0,2.4,-37.7,-2.4,0.94,-30.0,161,119,197
PHI,4.49,1.9,0.9,6396,4.4,110.0,-105.6,1.00,-0.1,4.5,-25.4,-1.7,0.94,-10.5,185,149,241
PIT,4.30,-20.2,-1.7,6345,2.5,106.5,-104.0,.99,-0.5,3.0,-8.5,-0.2,0.97,-17.1,147,100,222
SDP,4.73,-91.9,-8.6,6459,-4.9,106.4,-111.3,.98,-4.3,-0.7,-78.9,-7.5,0.95,-54.3,179,103,238
SFG,4.31,-12.4,-0.8,6365,1.4,113.1,-111.7,1.04,-1.6,3.0,-8.6,-0.3,0.95,-8.8,215,97,224
STL,4.27,-0.8,0.3,6416,0.5,108.8,-108.4,1.02,-0.4,0.8,3.4,0.9,0.97,-0.3,165,146,238
WSN,4.21,42.7,4.9,6270,2.8,105.3,-102.6,.97,4.9,-2.1,33.0,4.0,0.93,42.9,175,122,248
LgAvg,4.34,3,1,6372,2,109,-106,1.00,1,1,1,1,0,6,181,123,232
,4.34,40.1,13.5,95583,37.1,1637.4,-1600.4,1.00,18.9,18.1,15.4,11.1,0.95,93.0,2708,1852,3484
