Player,Tm,Pos,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
A.J. Ellis,SD,C,66,151,19,41,8,0,1,15,0,0,26,37,3,2,1,0.272,0.378,0.344,0.722
A.J. Pollock,ARI,OF,113,413,61,106,21,5,21,65,13,2,31,100,1,7,8,0.257,0.316,0.484,0.8
Aaron Altherr,PHI,OF,105,243,28,44,11,1,8,38,3,2,36,91,0,2,4,0.181,0.295,0.333,0.628
Abiatal Avelino,SF,SS,6,11,1,3,0,0,0,0,0,0,0,3,0,0,0,0.273,0.273,0.273,0.546
Adam Duvall CIN,CIN,OF,105,331,40,68,19,0,15,61,2,2,34,100,0,1,4,0.205,0.286,0.399,0.685
Adam Duvall ATL,ATL,OF,33,53,8,7,1,0,0,0,0,0,3,17,0,0,1,0.132,0.193,0.151,0.344
Adam Eaton,WAS,OF,95,319,55,96,18,1,5,33,9,1,38,64,2,0,11,0.301,0.394,0.411,0.805
Adam Frazier,PIT,OF,113,318,52,88,23,2,10,35,1,3,29,53,1,1,3,0.277,0.342,0.456,0.798
Addison Russell,CHC,SS,130,420,52,105,21,1,5,38,4,0,40,99,1,2,2,0.25,0.317,0.34,0.657
Adeiny Hechavarria,PIT,SS,15,43,2,10,4,0,1,3,0,0,3,11,0,1,0,0.233,0.277,0.395,0.672
Adolis Garcia,STL,OF,21,17,3,2,1,0,0,1,0,0,0,7,0,0,0,0.118,0.118,0.176,0.294
Adrian Gonzalez,NYM,1B,54,169,15,40,5,0,6,26,0,0,15,34,0,2,1,0.237,0.299,0.373,0.672
Adrian Sanchez,WAS,3B,28,58,8,16,2,1,0,3,0,0,1,8,0,0,0,0.276,0.288,0.345,0.633
Albert Almora,CHC,OF,152,444,62,127,24,1,5,41,1,3,24,83,2,6,3,0.286,0.323,0.378,0.701
Alen Hanson,SF,2B,110,294,36,74,17,5,8,39,7,3,9,71,3,3,1,0.252,0.274,0.425,0.699
Alex Avila,ARI,C,80,194,13,32,6,0,7,20,0,0,37,90,0,2,1,0.165,0.299,0.304,0.603
