Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Max Stassi\stassma01,27,88,250,221,28,50,13,0,8,27,0,0,23,74,.226,.316,.394,.710,97,87,6,6,0,0,0
2,1B,Yuli Gurriel\gourryu01,34,136,573,537,70,156,33,1,13,85,5,1,23,63,.291,.323,.428,.751,108,230,22,6,0,7,0
3,2B,Jose Altuve\altuvjo01,28,137,599,534,84,169,29,2,13,61,17,4,55,79,.316,.386,.451,.837,133,241,17,6,3,1,4
4,SS,Carlos Correa\correca01,23,110,468,402,60,96,20,1,15,65,3,0,53,111,.239,.323,.405,.728,102,163,17,2,0,11,3
5,3B,Alex Bregman\bregmal01,24,157,705,594,105,170,51,1,31,103,10,4,96,85,.286,.394,.532,.926,156,316,15,12,0,3,2
6,LF,Marwin Gonzalez#\gonzama01,29,145,552,489,61,121,25,3,16,68,2,3,53,126,.247,.324,.409,.733,103,200,14,3,5,2,3
7,CF,Jake Marisnick\marisja01,27,103,235,213,34,45,8,1,10,28,6,2,15,84,.211,.275,.399,.674,85,85,6,4,1,1,1
8,RF,Josh Reddick*\reddijo01,31,134,487,433,63,105,13,2,17,47,7,2,49,77,.242,.318,.400,.718,99,173,9,0,1,2,3
9,DH,Evan Gattis\gattiev01,31,128,451,407,49,92,17,0,25,78,1,0,33,101,.226,.284,.452,.736,101,184,13,3,0,8,2
10,OF,George Springer\springe01,28,140,620,544,102,144,26,0,22,71,6,4,64,122,.265,.346,.434,.780,116,236,12,5,0,3,0
11,OF,Tony Kemp*\kempto01,26,97,295,255,37,67,15,0,6,30,9,3,32,44,.263,.351,.392,.743,108,100,7,3,3,1,1
12,UT,Tyler White\whitety01,27,66,237,210,27,58,12,3,12,42,0,1,24,49,.276,.354,.533,.888,143,112,1,2,0,1,0
13,C,Brian McCann*\mccanbr01,34,63,216,189,22,40,3,0,7,23,0,1,19,40,.212,.301,.339,.640,79,64,7,6,0,2,0
14,C,Martin Maldonado\maldoma01,31,41,114,108,15,25,4,1,4,12,0,0,3,25,.231,.257,.398,.655,79,43,5,1,1,1,0
15,CI,J.D. Davis\davisjd01,25,42,113,103,9,18,2,0,1,5,0,0,10,29,.175,.248,.223,.471,34,23,3,0,0,0,0
16,LF,Derek Fisher*\fishede01,24,42,86,79,13,13,2,2,4,11,2,0,5,42,.165,.209,.392,.602,63,31,0,0,0,2,0
17,LF,Kyle Tucker*\tuckeky01,21,28,72,64,10,9,2,1,0,4,1,1,6,13,.141,.236,.203,.439,25,13,1,2,0,0,0
18,C,Tim Federowicz\federti01,30,10,35,34,4,7,3,0,0,2,0,0,1,13,.206,.229,.294,.523,45,10,1,0,0,0,0
19,OF,Myles Straw\strawmy01,23,9,10,9,4,3,0,0,1,1,2,0,1,0,.333,.400,.667,1.067,191,6,0,0,0,0,0
20,1B,AJ Reed*\reedaj01,25,1,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
21,P,Gerrit Cole\colege01,27,3,9,9,0,0,0,0,0,0,0,0,0,8,.000,.000,.000,.000,-100,0,0,0,0,0,0
22,P,Charlie Morton\mortoch02,34,3,6,6,0,1,0,0,0,0,0,0,0,5,.167,.167,.167,.333,-6,1,0,0,0,0,0
23,P,Justin Verlander\verlaju01,35,2,5,5,0,1,0,0,0,0,0,0,0,2,.200,.200,.200,.400,13,1,0,0,0,0,0
24,P,Dallas Keuchel*\keuchda01,30,1,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0
25,P,Lance McCullers Jr.*\mcculla02,24,1,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
26,P,Brad Peacock\peacobr01,30,3,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
27,P,Reymin Guduan*\guduare01,26,0,0,,,,,,,,,,,,,,,,,,,,,,
28,P,Ken Giles\gileske01,27,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
29,P,Collin McHugh\mchugco01,31,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
30,P,Dean Deetz\deetzde01,24,0,0,,,,,,,,,,,,,,,,,,,,,,
31,P,Cionel Perez*\perezci01,22,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
32,P,Ryan Pressly\pressry01,29,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
33,P,Josh James\jamesjo02,25,0,0,,,,,,,,,,,,,,,,,,,,,,
34,P,Chris Devenski\devench02,27,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
35,P,Tony Sipp*\sippto01,34,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
36,P,Will Harris\harriwi10,33,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
37,P,Joe Smith\smithjo05,34,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
38,P,James Hoyt\hoytja01,31,0,0,,,,,,,,,,,,,,,,,,,,,,
39,P,Framber Valdez*\valdefr01,24,0,0,,,,,,,,,,,,,,,,,,,,,,
40,P,Roberto Osuna\osunaro01,23,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
41,P,Hector Rondon\rondohe01,30,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
,,Team Totals,28.2,162,6146,5453,797,1390,278,18,205,763,71,26,565,1197,.255,.329,.425,.754,109,2319,156,61,14,45,19
,,Rank in 15 AL teams,,,,14,5,6,8,13,7,,10,5,3,2,4,4,6,5,,6,,10,,4,
,,Non-Pitcher Totals,28.2,162,6121,5428,797,1388,278,18,205,763,71,26,565,1178,.256,.330,.427,.757,110,2317,156,61,14,45,19
,,Pitcher Totals,28.1,162,25,25,0,2,0,0,0,0,0,0,0,19,.080,.080,.080,.160,-55,2,0,0,0,0,0
