Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Manny Pina\pinama01,31,98,337,306,39,77,13,2,9,28,2,0,21,62,.252,.307,.395,.702,87,121,13,5,1,4,3
2,1B,Jesus Aguilar\aguilje01,28,149,566,492,80,135,25,0,35,108,0,0,58,143,.274,.352,.539,.890,135,265,19,6,0,10,3
3,2B,Jonathan Villar#\villajo01,27,87,279,257,26,67,10,1,6,22,14,2,19,80,.261,.315,.377,.693,85,97,9,2,0,1,0
4,SS,Orlando Arcia\arciaor01,23,119,366,348,32,82,16,0,3,30,7,4,15,87,.236,.268,.307,.576,55,107,9,1,1,1,0
5,3B,Travis Shaw*\shawtr01,28,152,587,498,73,120,23,0,32,86,5,2,78,108,.241,.345,.480,.825,119,239,7,4,1,6,6
6,LF,Ryan Braun\braunry02,34,125,447,405,59,103,25,1,20,64,11,5,34,85,.254,.313,.469,.782,107,190,8,2,0,3,5
7,CF,Lorenzo Cain\cainlo01,32,141,620,539,90,166,25,2,10,38,30,7,71,94,.308,.395,.417,.813,119,225,10,8,0,2,1
8,RF,Christian Yelich*\yelicch01,26,147,651,574,118,187,34,7,36,110,22,4,68,135,.326,.402,.598,1.000,164,343,14,7,0,2,2
9,2B,Hernan Perez\perezhe01,27,132,334,316,36,80,11,2,9,29,11,3,17,71,.253,.290,.386,.676,80,122,6,0,0,1,1
10,UT,Eric Thames*\thameer01,31,96,278,247,41,54,10,3,16,37,7,0,29,97,.219,.306,.478,.783,106,118,3,2,0,0,4
11,RF,Domingo Santana\santado01,25,85,235,211,21,56,14,1,5,20,1,1,20,77,.265,.328,.412,.740,97,87,3,1,0,3,1
12,C,Erik Kratz\kratzer01,38,67,219,203,18,48,6,0,6,23,1,0,6,40,.236,.280,.355,.634,69,72,8,7,1,2,0
13,3B,Mike Moustakas*\moustmi01,29,54,218,195,20,50,12,0,8,33,1,1,19,40,.256,.326,.441,.767,104,86,3,2,0,2,2
14,2B,Jonathan Schoop\schoojo01,26,46,134,124,16,25,4,0,4,21,1,0,7,41,.202,.246,.331,.577,53,41,3,1,0,2,1
15,SS,Tyler Saladino\saladty01,28,52,130,118,11,29,3,0,5,16,2,2,9,38,.246,.302,.398,.701,86,47,3,1,1,1,0
16,MI,Eric Sogard*\sogarer01,32,55,113,97,7,13,3,0,0,2,3,0,12,23,.134,.241,.165,.406,12,16,3,2,1,1,1
17,OF,Keon Broxton\broxtke01,28,51,89,78,15,14,2,2,4,11,5,1,11,28,.179,.281,.410,.691,83,32,0,0,0,0,0
18,MI,Brad Miller*\millebr02,28,27,80,74,5,17,3,1,2,8,0,0,6,31,.230,.288,.378,.666,77,28,2,0,0,0,1
19,C,Jett Bandy\bandyje01,28,24,71,64,5,12,2,0,1,1,0,0,3,23,.188,.268,.266,.533,44,17,0,4,0,0,0
20,OF,Curtis Granderson*\grandcu01,37,19,54,41,12,9,1,1,2,3,0,0,12,10,.220,.407,.439,.846,128,18,0,1,0,0,0
21,UT,Ji-Man Choi*\choiji01,27,12,32,30,4,7,2,0,2,5,0,0,2,14,.233,.281,.500,.781,104,15,1,0,0,0,1
22,UT,Nate Orf\orfna01,28,15,25,21,4,2,0,0,1,1,1,0,3,8,.095,.240,.238,.478,29,5,1,1,0,0,0
23,OF,Brett Phillips*\phillbr02,24,15,24,22,2,4,0,1,0,4,0,0,2,11,.182,.250,.273,.523,41,6,1,0,0,0,0
