Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Yadier Molina\molinya01,35,123,503,459,55,120,20,0,20,74,4,3,29,66,.261,.314,.436,.750,103,200,15,9,0,6,0
2,1B,Jose Martinez\martijo08,29,152,590,534,64,163,30,0,17,83,0,3,49,104,.305,.364,.457,.821,124,244,15,2,2,3,0
3,2B,Kolten Wong*\wongko01,27,127,407,353,41,88,18,2,9,38,6,5,31,60,.249,.332,.388,.720,97,137,6,14,6,3,3
4,SS,Paul DeJong\dejonpa01,24,115,490,436,68,105,25,1,19,68,1,1,36,123,.241,.313,.433,.746,102,189,6,12,0,5,2
5,3B,Jedd Gyorko\gyorkje01,29,125,402,351,49,92,19,1,11,47,2,0,44,77,.262,.346,.416,.762,108,146,12,3,0,4,0
6,LF,Marcell Ozuna\ozunama01,27,148,628,582,69,163,16,2,23,88,3,0,38,110,.280,.325,.433,.758,106,252,10,3,0,4,2
7,CF,Tommy Pham\phamth01,30,98,396,351,67,87,11,0,14,41,10,6,42,97,.248,.331,.399,.730,99,140,12,2,0,1,1
8,RF,Dexter Fowler#\fowlede01,32,90,334,289,40,52,10,0,8,31,5,2,38,75,.180,.278,.298,.576,59,86,2,3,0,4,0
9,CI,Matt Carpenter*\carpema01,32,156,677,564,111,145,42,0,36,81,4,1,102,158,.257,.374,.523,.897,143,295,0,6,0,4,17
10,OF,Harrison Bader\baderha01,24,138,427,379,61,100,20,2,12,37,15,3,31,125,.264,.334,.422,.756,106,160,1,11,2,4,3
11,MI,Yairo Munoz\munozya01,23,108,329,293,39,81,16,0,8,42,5,6,30,71,.276,.350,.413,.763,109,121,3,4,0,2,7
12,MI,Greg Garcia*\garcigr01,28,114,208,181,15,40,6,0,3,15,3,1,20,37,.221,.309,.304,.613,70,55,3,4,1,2,1
13,OF,Tyler O'Neill\oneilty01,23,61,142,130,29,33,5,0,9,23,2,0,7,57,.254,.303,.500,.803,115,65,0,3,0,2,0
14,C,Francisco Pena\penafr01,28,58,142,133,10,27,3,0,2,8,1,0,6,43,.203,.239,.271,.510,40,36,5,1,0,2,3
15,1B,Matt Adams*\adamsma01,29,27,60,57,5,9,1,0,3,9,0,0,3,18,.158,.200,.333,.533,43,19,0,0,0,0,1
16,CI,Patrick Wisdom\wisdopa01,26,32,58,50,11,13,1,0,4,10,2,1,6,19,.260,.362,.520,.882,139,26,1,2,0,0,0
17,C,Carson Kelly\kellyca02,23,19,42,35,1,4,0,0,0,3,0,0,3,7,.114,.205,.114,.319,-9,4,0,1,3,0,0
18,OF,Adolis Garcia\garciad02,25,21,17,17,3,2,1,0,0,1,0,0,0,7,.118,.118,.176,.294,-21,3,0,0,0,0,0
19,1B,Luke Voit\voitlu01,27,8,13,11,2,2,0,0,1,3,0,0,2,4,.182,.308,.455,.762,106,5,0,0,0,0,0
20,C,Steven Baron\baronst01,27,2,5,5,0,1,0,0,0,0,0,0,0,2,.200,.200,.200,.400,11,1,0,0,0,0,0
21,2B,Edmundo Sosa\sosaed01,22,3,3,2,1,0,0,0,0,0,0,0,1,1,.000,.333,.000,.333,3,0,0,0,0,0,0
22,P,Miles Mikolas\mikolmi01,29,32,71,63,4,9,1,0,2,6,0,0,2,33,.143,.167,.254,.421,13,16,0,0,5,1,0
23,P,Jack Flaherty\flaheja01,22,28,52,46,2,7,0,0,0,0,0,0,2,20,.152,.188,.152,.340,-5,7,0,0,4,0,0
24,P,Luke Weaver\weavelu01,24,33,46,38,4,6,0,0,0,2,0,0,1,14,.158,.179,.158,.337,-6,6,1,0,7,0,0
25,P,Carlos Martinez\martica04,26,33,36,33,1,8,2,0,1,4,0,0,0,11,.242,.235,.394,.629,69,13,0,0,2,1,0
26,P,John Gant\gantjo01,25,27,34,31,2,2,0,0,2,3,0,0,0,14,.065,.065,.258,.323,-17,8,0,0,3,0,0
27,P,Michael Wacha\wachami01,26,15,32,25,3,2,0,0,0,1,0,0,1,9,.080,.115,.080,.195,-45,2,0,0,6,0,0
28,P,Austin Gomber*\gombeau01,24,27,21,19,1,4,1,0,0,4,0,0,0,3,.211,.211,.263,.474,29,5,0,0,2,0,0
29,P,Adam Wainwright\wainwad01,36,8,12,11,0,1,0,0,0,1,0,0,0,6,.091,.091,.091,.182,-50,1,0,0,1,0,0
30,P,Daniel Poncedeleon\ponceda01,26,10,10,9,0,1,0,1,0,1,0,0,0,4,.111,.111,.333,.444,15,3,0,0,1,0,0
31,P,Tyson Ross\rossty01,31,8,4,3,1,2,0,0,1,1,0,0,0,0,.667,.667,1.667,2.333,512,5,0,0,1,0,0
32,P,John Brebbia*\brebbjo01,28,43,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
33,P,Mike Mayers\mayermi01,26,48,2,1,0,0,0,0,0,0,0,0,1,1,.000,.500,.000,.500,55,0,0,0,0,0,0
34,P,Jordan Hicks\hicksjo03,21,67,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
35,P,Alex Reyes\reyesal02,23,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
36,P,Matthew Bowman\bowmama01,27,21,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0
37,P,Dakota Hudson\hudsoda02,23,24,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0
38,P,Chasen Shreve*\shrevch01,27,19,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
39,P,Dominic Leone\leonedo01,26,29,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
40,P,Greg Holland\hollagr01,32,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
41,P,Tyler Webb*\webbty01,27,17,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
42,P,Preston Guilmet\guilmpr01,30,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
43,P,Brett Cecil\cecilbr01,31,36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
44,P,Tyler Lyons*\lyonsty01,30,27,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
45,P,Ryan Sherriff*\sherrry01,28,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
46,P,Bud Norris\norribu01,33,61,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
47,P,Sam Tuivailala\tuivasa01,25,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
48,P,Giovanny Gallegos\gallegi01,26,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
49,P,Luke Gregerson*\gregelu01,34,16,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
,,Team Totals,28.3,162,6200,5498,759,1369,248,9,205,725,63,32,525,1380,.249,.321,.409,.730,99,2250,92,80,46,48,40
,,Rank in 15 NL teams,,,,9,5,9,13,15,4,,14,5,9,5,9,8,7,7,,7,,1,,2,
,,Non-Pitcher Totals,28.4,162,5873,5212,741,1327,244,8,199,702,63,32,518,1261,.255,.329,.419,.748,104,2184,91,80,14,46,40
,,Pitcher Totals,25.8,162,327,286,18,42,4,1,6,23,0,0,7,119,.147,.166,.231,.397,8,66,1,0,32,2,0
