Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr
ARI,49,3.98,.698,162,1458,1119,13167.0,6150,4389,1686,75,152,.988,33,3,118,2
ATL,57,4.06,.709,162,1458,1166,13110.0,5889,4370,1439,80,134,.986,34,3,52,1
CHC,50,3.96,.700,163,1467,933,13287.0,6208,4429,1675,104,155,.983,69,6,37,3
CIN,53,5.06,.685,162,1458,1084,12969.0,6026,4323,1608,95,144,.984,-40,-4,-7,-1
COL,41,4.57,.688,163,1467,1140,13071.0,6055,4357,1624,74,162,.988,29,3,-14,-1
LAD,52,3.74,.698,163,1467,910,13284.0,5963,4428,1435,100,111,.983,8,1,32,3
MIA,51,5.02,.697,161,1449,980,12978.0,5857,4326,1448,83,133,.986,-8,-1,28,3
MIL,53,4.04,.704,163,1467,959,13149.0,5944,4383,1453,108,141,.982,45,4,91,1
NYM,56,4.36,.691,162,1458,1136,13146.0,5876,4382,1406,88,121,.985,-48,-4,-87,-8
PHI,48,4.49,.677,162,1458,1092,13011.0,5938,4337,1478,123,138,.979,-58,-5,-137,-13
PIT,47,4.30,.686,161,1449,1136,12906.0,5884,4302,1477,105,128,.982,-14,-1,-30,0
SDP,49,4.73,.680,162,1458,1092,13113.0,6010,4371,1539,100,127,.983,-21,-2,44,4
SFG,48,4.31,.692,162,1458,1111,13152.0,6086,4384,1605,97,160,.984,9,1,19,0
STL,49,4.27,.685,162,1458,1031,13098.0,6039,4366,1540,133,151,.978,-7,-1,32,3
WSN,53,4.21,.703,162,1458,1078,13014.0,5765,4338,1363,64,115,.989,-22,-2,-52,-1
LgAvg,49,4.34,.693,162,1459,1064,13097,5979,4366,1518,95,138,.984,1,0,,
,728,4.34,.693,2432,21888,15967,196455.0,89690,65485,22776,1429,2072,.984,9,0,,
