Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary
ARI,1463.0,735,162,644,3.96,4.45,0.65,0.01,107.2,4.08,21,3.6,1.26,-2.2,14.5,144,.505,.502,$77331100
ATL,1456.2,715,162,657,4.06,4.43,0.33,0.00,99.5,4.08,6,1.5,1.13,-1.4,13.2,128,.501,.501,$33786667
CHC,1476.1,763,163,645,3.93,4.43,0.28,-0.01,105.4,4.37,74,8.7,1.22,-0.8,21.1,199,.511,.503,$141206714
CIN,1441.0,706,162,819,5.12,4.44,-0.02,-0.01,104.2,4.64,-71,-6.3,1.03,-0.3,6.3,51,.490,.500,$48179286
COL,1452.1,681,163,745,4.62,4.46,-0.07,0.02,115.5,5.25,104,12.5,1.14,-0.8,24.6,227,.518,.504,$53399500
LAD,1476.0,756,163,610,3.72,4.25,0.22,0.00,97.3,3.92,34,4.6,1.09,-2.1,15.8,159,.506,.501,$90419429
MIA,1442.0,707,161,809,5.05,4.45,0.17,-0.01,90.0,3.84,-192,-19.4,1.03,-0.8,-7.3,-71,.472,.495,$42218000
MIL,1461.0,722,163,659,4.06,4.37,0.55,-0.01,101.3,3.86,-31,-2.6,1.18,-1.4,9.0,92,.496,.500,$37548300
NYM,1460.2,663,162,707,4.36,4.41,-0.50,0.01,91.6,4.51,26,5.0,1.13,-1.6,16.4,149,.508,.502,$53627275
PHI,1445.2,758,162,728,4.53,4.52,-0.71,0.00,102.2,5.35,133,16.0,1.16,-0.8,28.1,255,.521,.506,$59234000
PIT,1434.0,641,161,693,4.35,4.34,-0.13,0.00,96.9,4.33,-1,0.8,1.06,-0.8,12.8,119,.501,.502,$26393167
SDP,1457.0,697,162,767,4.74,4.32,0.28,-0.02,96.2,3.87,-139,-13.3,1.10,-0.7,-0.9,-16,.481,.499,$29026700
SFG,1461.1,711,162,699,4.30,4.40,0.12,0.00,96.5,4.14,-26,-1.9,1.24,-0.9,10.3,97,.497,.501,$92394333
STL,1455.1,728,162,691,4.27,4.32,0.24,0.00,96.9,3.95,-50,-4.6,1.07,-1.9,6.5,73,.494,.499,$88371500
WSN,1446.0,724,162,682,4.24,4.46,-0.28,0.01,103.7,4.92,110,13.1,1.08,-1.2,24.8,232,.518,.504,$93447699
,21828.1,10707,2432,10555,4.35,4.40,0.07,0.00,100.3,4.34,0,17.8,1.13,-17.8,195.0,1836,.502,.501,$966583670
