Rank,Team,Roster,25-Man,Disabled List,Retained,Buried,Suspended,Total Payroll
1,Boston Red Sox,36,167955780,18074000,42210860,2180000,0,228398860
2,San Francisco Giants,32,119689218,64341827,21136053,3283000,0,205665348
3,Los Angeles Dodgers,40,160502596,3908850,30541679,5590000,0,199582045
4,Chicago Cubs,37,152092957,37451220,1216894,2725000,3200000,194259933
5,Washington Nationals,35,130197979,8999485,41161720,4481000,0,181382609
6,New York Yankees,38,147510829,22568376,9249414,3130000,0,179598151
7,Los Angeles Angels of Anaheim,37,91914083,57532566,24194770,1635000,0,173784989
8,St. Louis Cardinals,36,113991329,27345600,20907798,2310900,0,163784311
9,Houston Astros,36,158520510,556400,4027264,2189400,0,163524216
10,Seattle Mariners,38,136839663,13496812,9361340,4025600,0,160993827
11,Toronto Blue Jays,37,81293347,20481474,48740616,5450000,0,150946147
12,New York Mets,33,82655203,49831436,15314261,5452000,1792000,150187987
13,Colorado Rockies,35,131213168,7545000,4442400,3277000,0,143968544
14,Cleveland Indians,35,123670545,12836166,5222548,3277000,0,142804703
15,Arizona Diamondbacks,35,107901628,14124025,5630585,15151500,0,141724597
16,Texas Rangers,35,96239016,6683451,36936251,3325000,0,140625018
LEAGUE AVERAGE,,35.13333333,97565644.6,17740183.76,22422727.2,4352896.667,284566.6667,139153883
17,Detroit Tigers,33,67047516,37720870,24401899,4187600,0,130959889
18,Atlanta Braves,37,73517565,13299094,42392955,5180000,0,130599395
19,Kansas City Royals,30,83618228,7189167,37811905,4398500,0,129944821
20,Baltimore Orioles,38,69691407,12650000,40717656,3726500,3000000,127633703
21,Minnesota Twins,35,56254373,29213890,29264527,2215000,0,115509520
22,Milwaukee Brewers,36,89888839,7321500,11383150,3275700,0,108982016
23,Philadelphia Phillies,40,97016347,0,6936684,2045000,0,104297471
24,San Diego Padres,33,50169797,6764800,41979430,4274200,545000,101343635
25,Cincinnati Reds,30,82511299,1344890,15242487,4395000,0,100305768
26,Miami Marlins,31,43033514,15407490,31020460,6200000,0,91817860
27,Pittsburgh Pirates,34,67576415,4670500,17492114,3302000,0,91025861
28,Oakland Athletics,35,61525657,4972604,10118631,6745000,0,80315288
29,Chicago White Sox,32,57261542,5920130,7681442,4935000,0,71839808
30,Tampa Bay Rays,35,25668988,2213706,35944023,8225000,0,68810167
