battarstatid,Player,Tm,Pos,G,AB,R,H,Hit_2B,Hit_3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
1,Paul Goldschmidt,ARI,1B,158,593,95,172,35,5,33,83,7,4,90,173,0,0,6,0.29,0.389,0.533,0.922
2,David Peralta,ARI,OF,146,560,75,164,25,5,30,87,4,0,48,124,0,2,4,0.293,0.352,0.516,0.868
3,Ketel Marte,ARI,SS,153,520,68,135,26,12,14,59,6,1,54,79,1,2,3,0.26,0.332,0.437,0.769
4,Nick Ahmed,ARI,SS,153,516,61,121,33,5,16,70,5,4,40,109,1,5,2,0.234,0.29,0.411,0.701
5,A.J. Pollock,ARI,OF,113,413,61,106,21,5,21,65,13,2,31,100,1,7,8,0.257,0.316,0.484,0.8
6,Daniel Descalso,ARI,2B,138,349,54,83,22,4,13,57,0,1,64,110,0,7,2,0.238,0.353,0.436,0.789
7,Jon Jay,ARI,OF,84,289,46,68,10,5,2,22,1,1,14,56,1,1,15,0.235,0.304,0.325,0.629
8,Chris Owings,ARI,SS,106,281,34,58,15,0,4,22,11,4,24,75,0,2,2,0.206,0.272,0.302,0.574
9,Steven Souza,ARI,OF,72,241,21,53,15,3,5,29,6,1,28,75,0,0,3,0.22,0.309,0.369,0.678
10,John Ryan Murphy,ARI,C,87,208,19,42,9,0,9,24,0,0,11,71,2,1,1,0.202,0.244,0.375,0.619
11,Jake Lamb,ARI,3B,56,207,34,46,8,0,6,31,1,2,26,65,0,4,1,0.222,0.307,0.348,0.655
12,Jarrod Dyson,ARI,OF,67,206,29,39,4,2,2,12,16,3,27,34,3,1,0,0.189,0.282,0.257,0.539
13,Jeff Mathis,ARI,C,69,195,15,39,9,1,1,20,0,0,20,66,1,2,0,0.2,0.272,0.272,0.544
14,Alex Avila,ARI,C,80,194,13,32,6,0,7,20,0,0,37,90,0,2,1,0.165,0.299,0.304,0.603
15,Deven Marrero,ARI,3B,49,78,11,13,1,1,0,7,3,0,6,23,0,1,0,0.167,0.224,0.205,0.429
